time_step,time_days,iter,pavg_psia,oil_tx_stb_p_day,cum_oil_Mstb,wat_tx_stb_p_day,cum_w_Mstb,wor_stb_stb,gas_tx_Mcf_p_day,cum_gas_Mmcf,gor_stf_stb,case
1,1.0,2,5306.6,300.0,0.3,0.0,0.0,0.0,137.0,0.14,457.0,base21
2,2.0,1,5298.5,300.0,0.6,0.0,0.0,0.0,137.0,0.27,457.0,base21
3,3.5,1,5286.7,300.0,1.0,0.0,0.0,0.0,137.0,0.48,457.0,base21
4,5.8,1,5269.1,300.0,1.7,0.0,0.0,0.0,137.0,0.79,457.0,base21
5,9.1,1,5242.6,300.0,2.7,0.1,0.0,0.0,137.0,1.25,457.0,base21
6,14.2,1,5202.9,300.0,4.3,0.1,0.0,0.0,137.0,1.95,457.0,base21
7,21.8,1,5143.2,300.0,6.5,0.1,0.0,0.0,137.0,2.99,457.0,base21
8,33.2,1,5053.5,300.0,10.0,0.1,0.0,0.0,137.0,4.55,457.0,base21
9,34.2,2,4822.0,300.0,10.3,0.1,0.0,0.0,137.0,4.68,457.0,base21
10,35.2,1,4814.1,300.0,10.6,0.1,0.0,0.0,137.0,4.82,457.0,base21
11,36.7,1,4802.3,300.0,11.0,0.1,0.0,0.0,137.0,5.03,457.0,base21
12,38.9,1,4784.6,300.0,11.7,0.1,0.0,0.0,137.0,5.34,457.0,base21
13,42.3,1,4758.0,300.0,12.7,0.1,0.0,0.0,137.0,5.8,457.0,base21
14,47.4,1,4718.0,300.0,14.2,0.1,0.0,0.0,137.0,6.49,457.0,base21
15,55.0,1,4658.0,300.0,16.5,0.1,0.0,0.0,137.0,7.53,457.0,base21
16,66.3,1,4567.9,300.0,19.9,0.1,0.0,0.0,137.0,9.1,457.0,base21
17,67.3,2,4338.2,300.0,20.2,0.1,0.0,0.0,137.0,9.23,457.0,base21
18,68.3,1,4329.6,300.0,20.5,0.1,0.0,0.0,137.0,9.37,457.0,base21
19,69.8,1,4317.6,300.0,21.0,0.1,0.0,0.0,137.0,9.58,457.0,base21
20,72.1,1,4299.6,300.0,21.6,0.1,0.0,0.0,137.0,9.88,457.0,base21
21,75.5,1,4272.6,300.0,22.6,0.1,0.0,0.0,137.0,10.35,457.0,base21
22,80.5,1,4232.1,300.0,24.2,0.1,0.0,0.0,137.0,11.04,457.0,base21
23,88.1,1,4171.3,300.0,26.4,0.1,0.0,0.0,137.0,12.08,457.0,base21
24,99.5,1,4079.8,300.0,29.9,0.1,0.0,0.0,137.0,13.64,457.0,base21
25,100.5,2,3844.3,300.0,30.2,0.1,0.0,0.0,137.0,13.78,457.0,base21
26,101.5,1,3836.1,300.0,30.5,0.1,0.0,0.0,137.0,13.92,457.0,base21
27,103.0,1,3824.1,300.0,30.9,0.1,0.0,0.0,137.0,14.12,457.0,base21
28,105.3,1,3806.0,300.0,31.6,0.1,0.0,0.0,137.0,14.43,457.0,base21
29,108.6,1,3778.9,300.0,32.6,0.1,0.0,0.0,137.0,14.89,457.0,base21
30,113.7,1,3738.1,300.0,34.1,0.1,0.0,0.0,137.0,15.59,457.0,base21
31,121.3,1,3676.9,300.0,36.4,0.1,0.0,0.0,137.0,16.63,457.0,base21
32,132.7,1,3585.0,300.0,39.8,0.1,0.0,0.0,137.0,18.19,457.0,base21
33,133.7,2,3350.8,300.0,40.1,0.1,0.0,0.0,137.0,18.33,457.0,base21
34,134.7,1,3342.0,300.0,40.4,0.1,0.0,0.0,137.0,18.47,457.0,base21
35,136.2,1,3329.8,300.0,40.9,0.1,0.0,0.0,137.0,18.67,457.0,base21
36,138.4,1,3311.4,300.0,41.5,0.1,0.0,0.0,137.0,18.98,457.0,base21
37,141.8,1,3283.9,300.0,42.5,0.1,0.0,0.0,137.0,19.44,457.0,base21
38,146.9,1,3242.6,300.0,44.1,0.2,0.0,0.0,137.0,20.14,457.0,base21
39,154.5,1,3180.5,300.0,46.3,0.2,0.0,0.0,137.0,21.18,457.0,base21
40,165.9,2,3086.9,300.0,49.8,0.2,0.0,0.0,137.0,22.74,457.0,base21
41,166.9,3,2853.1,300.0,50.1,0.2,0.0,0.0,128.0,22.87,428.0,base21
42,167.9,1,2844.2,300.0,50.4,0.2,0.0,0.0,193.0,23.06,642.0,base21
43,169.4,1,2830.6,300.0,50.8,0.2,0.0,0.0,190.0,23.34,634.0,base21
44,171.6,2,2810.7,300.0,51.5,0.2,0.0,0.0,169.0,23.72,562.0,base21
45,175.0,1,2782.9,300.0,52.5,0.2,0.0,0.0,140.0,24.2,467.0,base21
46,180.0,2,2742.7,300.0,54.0,0.2,0.0,0.0,136.0,24.88,452.0,base21
47,187.6,2,2681.4,300.0,56.3,0.2,0.0,0.0,147.0,26.0,489.0,base21
48,188.6,4,2518.9,300.0,56.6,0.2,0.0,0.0,146.0,26.14,488.0,base21
49,189.6,1,2512.6,300.0,56.9,0.3,0.0,0.0,194.0,26.34,646.0,base21
50,191.1,2,2503.4,300.0,57.3,0.3,0.0,0.0,212.0,26.66,707.0,base21
51,193.4,2,2489.7,300.0,58.0,0.3,0.0,0.0,232.0,27.18,774.0,base21
52,196.8,2,2471.7,300.0,59.0,0.3,0.0,0.0,232.0,27.96,773.0,base21
53,201.8,2,2451.0,300.0,60.5,0.3,0.0,0.0,201.0,28.98,669.0,base21
54,209.4,1,2421.6,300.0,62.8,0.3,0.0,0.0,205.0,30.53,682.0,base21
55,220.8,2,2377.1,300.0,66.2,0.3,0.0,0.0,206.0,32.88,687.0,base21
56,221.8,3,2292.5,300.0,66.5,0.3,0.0,0.0,151.0,33.03,502.0,base21
57,222.8,3,2284.7,300.0,66.8,0.5,0.0,0.0,1576.0,34.6,5254.0,base21
58,223.8,2,2278.8,300.0,67.1,0.6,0.0,0.0,785.0,35.39,2615.0,base21
59,224.8,2,2274.0,300.0,67.4,0.5,0.0,0.0,363.0,35.75,1211.0,base21
60,225.8,1,2269.7,300.0,67.7,0.4,0.0,0.0,271.0,36.02,903.0,base21
61,226.8,2,2265.6,300.0,68.0,0.4,0.0,0.0,230.0,36.25,767.0,base21
62,228.3,2,2259.9,300.0,68.5,0.3,0.0,0.0,215.0,36.58,717.0,base21
63,230.6,2,2251.8,300.0,69.2,0.3,0.0,0.0,215.0,37.06,716.0,base21
64,233.9,1,2240.3,300.0,70.2,0.3,0.0,0.0,221.0,37.81,737.0,base21
65,239.0,1,2223.9,300.0,71.7,0.3,0.0,0.0,221.0,38.92,736.0,base21
66,246.6,2,2201.4,300.0,74.0,0.3,0.0,0.0,214.0,40.54,712.0,base21
67,258.0,2,2168.7,300.0,77.4,0.3,0.0,0.0,225.0,43.1,749.0,base21
68,273.0,2,2127.0,300.0,81.9,0.3,0.0,0.0,242.0,46.73,806.0,base21
69,288.0,2,2084.8,300.0,86.4,0.3,0.1,0.0,285.0,51.0,949.0,base21
70,303.0,2,2046.3,300.0,90.9,0.4,0.1,0.0,267.0,55.0,888.0,base21
71,304.0,4,1976.9,300.0,91.2,0.4,0.1,0.0,313.0,55.31,1045.0,base21
72,305.0,4,1970.3,300.0,91.5,0.6,0.1,0.0,1781.0,57.1,5936.0,base21
73,306.0,4,1964.6,300.0,91.8,0.8,0.1,0.0,1374.0,58.47,4579.0,base21
74,307.0,4,1961.7,300.0,92.1,0.7,0.1,0.0,99.0,58.57,330.0,base21
75,308.0,2,1958.5,300.0,92.4,0.6,0.1,0.0,444.0,59.01,1481.0,base21
76,309.0,3,1951.6,300.0,92.7,0.5,0.1,0.0,369.0,59.38,1230.0,base21
77,310.0,2,1949.3,300.0,93.0,0.4,0.1,0.0,252.0,59.63,841.0,base21
78,311.5,2,1945.9,300.0,93.4,0.4,0.1,0.0,251.0,60.01,838.0,base21
79,313.7,2,1941.1,300.0,94.1,0.4,0.1,0.0,263.0,60.6,877.0,base21
80,317.1,2,1934.1,300.0,95.1,0.4,0.1,0.0,293.0,61.59,976.0,base21
81,322.2,1,1923.2,300.0,96.7,0.4,0.1,0.0,335.0,63.29,1116.0,base21
82,329.8,2,1907.7,300.0,98.9,0.4,0.1,0.0,365.0,66.05,1215.0,base21
83,341.2,2,1886.4,300.0,102.3,0.4,0.1,0.0,322.0,69.72,1074.0,base21
84,348.7,5,1837.1,300.0,104.6,0.5,0.1,0.0,357.0,72.4,1191.0,base21
85,349.7,5,1790.3,300.0,104.9,0.6,0.1,0.0,425.0,72.83,1417.0,base21
86,350.7,5,1787.8,300.0,105.2,0.5,0.1,0.0,440.0,73.27,1466.0,base21
87,351.7,5,1784.6,300.0,105.5,0.5,0.1,0.0,487.0,73.75,1622.0,base21
88,352.7,5,1781.7,300.0,105.8,0.5,0.1,0.0,447.0,74.2,1488.0,base21
89,354.2,4,1777.6,300.0,106.2,0.5,0.1,0.0,433.0,74.85,1444.0,base21
90,356.4,4,1771.9,300.0,106.9,0.4,0.1,0.0,423.0,75.8,1410.0,base21
91,359.8,3,1764.0,300.0,107.9,0.4,0.1,0.0,419.0,77.22,1395.0,base21
92,364.8,3,1753.0,300.0,109.5,0.4,0.1,0.0,420.0,79.34,1400.0,base21
93,365.0,3,1752.6,300.0,109.5,0.4,0.1,0.0,422.0,79.41,1407.0,base21
94,366.0,5,1758.0,10.7,109.5,0.0,0.1,0.0,33.0,79.44,3112.0,base21
95,367.0,5,1759.2,13.4,109.5,0.0,0.1,0.0,33.0,79.47,2450.0,base21
96,368.5,4,1761.0,13.5,109.5,0.0,0.1,0.0,33.0,79.52,2478.0,base21
97,370.8,4,1763.8,13.6,109.6,0.0,0.1,0.0,34.0,79.6,2522.0,base21
98,371.7,5,1771.2,13.5,109.6,0.0,0.1,0.0,37.0,79.64,2767.0,base21
99,372.8,5,1772.2,13.8,109.6,0.0,0.1,0.0,38.0,79.68,2732.0,base21
100,374.3,5,1773.9,13.8,109.6,0.0,0.1,0.0,38.0,79.73,2755.0,base21
101,376.5,5,1776.3,13.8,109.7,0.0,0.1,0.0,38.0,79.82,2789.0,base21
102,379.9,3,1779.9,13.8,109.7,0.0,0.1,0.0,39.0,79.95,2832.0,base21
103,380.9,5,1789.8,13.6,109.7,0.0,0.1,0.0,40.0,79.99,2953.0,base21
104,381.9,3,1790.6,13.9,109.7,0.0,0.1,0.0,40.0,80.03,2902.0,base21
105,383.4,3,1791.8,13.9,109.7,0.0,0.1,0.0,40.0,80.09,2905.0,base21
106,385.6,3,1793.7,13.9,109.8,0.0,0.1,0.0,40.0,80.18,2910.0,base21
107,389.0,3,1796.6,13.9,109.8,0.0,0.1,0.0,40.0,80.32,2916.0,base21
108,394.1,3,1800.9,13.9,109.9,0.0,0.1,0.0,41.0,80.52,2924.0,base21
109,395.1,5,1757.9,13.7,109.9,0.0,0.1,0.0,41.0,80.57,2998.0,base21
110,396.1,5,1762.6,13.9,109.9,0.0,0.1,0.0,41.0,80.61,2945.0,base21
111,397.1,5,1762.9,13.9,109.9,0.0,0.1,0.0,41.0,80.65,2945.0,base21
112,398.1,5,1764.1,13.9,110.0,0.0,0.1,0.0,41.0,80.69,2945.0,base21
113,399.1,5,1764.7,13.9,110.0,0.0,0.1,0.0,41.0,80.73,2944.0,base21
114,400.6,5,1765.6,13.9,110.0,0.0,0.1,0.0,41.0,80.79,2944.0,base21
115,402.8,5,1766.9,13.9,110.0,0.0,0.1,0.0,41.0,80.88,2944.0,base21
116,403.8,5,1770.3,13.8,110.0,0.0,0.1,0.0,41.0,80.92,2956.0,base21
117,404.8,5,1770.9,13.9,110.0,0.0,0.1,0.0,41.0,80.96,2938.0,base21
118,406.3,5,1771.8,13.9,110.1,0.0,0.1,0.0,41.0,81.03,2937.0,base21
119,408.6,5,1773.1,13.9,110.1,0.0,0.1,0.0,41.0,81.12,2935.0,base21
120,411.9,5,1775.1,13.9,110.1,0.0,0.1,0.0,41.0,81.26,2933.0,base21
121,412.9,5,1783.3,13.9,110.2,0.0,0.1,0.0,41.0,81.3,2934.0,base21
122,413.9,5,1783.8,14.0,110.2,0.0,0.1,0.0,41.0,81.34,2909.0,base21
123,415.4,5,1785.0,14.0,110.2,0.0,0.1,0.0,41.0,81.4,2907.0,base21
124,417.7,5,1786.9,14.0,110.2,0.0,0.1,0.0,41.0,81.49,2903.0,base21
125,421.1,5,1789.7,14.0,110.3,0.0,0.1,0.0,41.0,81.63,2898.0,base21
126,422.1,5,1798.6,14.0,110.3,0.0,0.1,0.0,40.0,81.67,2887.0,base21
127,423.1,5,1799.6,14.1,110.3,0.0,0.1,0.0,40.0,81.71,2866.0,base21
128,424.6,5,1801.0,14.1,110.3,0.0,0.1,0.0,40.0,81.77,2863.0,base21
129,426.8,5,1803.2,14.1,110.4,0.0,0.1,0.0,40.0,81.86,2859.0,base21
130,430.2,5,1806.4,14.1,110.4,0.0,0.1,0.0,40.0,81.99,2853.0,base21
131,435.3,5,1811.1,14.1,110.5,0.0,0.1,0.0,40.0,82.2,2845.0,base21
132,442.8,5,1818.3,14.1,110.6,0.0,0.1,0.0,40.0,82.5,2831.0,base21
133,443.8,5,1838.9,14.2,110.6,0.0,0.1,0.0,40.0,82.54,2803.0,base21
134,444.8,5,1840.0,14.4,110.6,0.0,0.1,0.0,40.0,82.58,2754.0,base21
135,446.3,5,1841.5,14.4,110.6,0.0,0.1,0.0,40.0,82.64,2752.0,base21
136,448.6,5,1843.6,14.4,110.7,0.0,0.1,0.0,40.0,82.73,2748.0,base21
137,452.0,5,1846.4,14.4,110.7,0.0,0.1,0.0,40.0,82.86,2742.0,base21
138,457.0,5,1850.7,14.5,110.8,0.0,0.1,0.0,40.0,83.06,2733.0,base21
139,464.6,5,1857.0,14.5,110.9,0.0,0.1,0.0,39.0,83.36,2721.0,base21
140,465.6,5,1875.3,14.6,110.9,0.0,0.1,0.0,39.0,83.4,2693.0,base21
141,466.6,5,1876.4,14.8,110.9,0.0,0.1,0.0,39.0,83.44,2646.0,base21
142,468.1,5,1877.9,14.8,110.9,0.0,0.1,0.0,39.0,83.5,2643.0,base21
143,470.4,5,1879.8,14.9,111.0,0.0,0.1,0.0,39.0,83.59,2640.0,base21
144,473.7,5,1882.5,14.9,111.0,0.0,0.1,0.0,39.0,83.72,2634.0,base21
145,478.8,5,1886.5,14.9,111.1,0.0,0.1,0.0,39.0,83.92,2626.0,base21
146,486.4,5,1892.5,15.0,111.2,0.0,0.1,0.0,39.0,84.21,2613.0,base21
147,487.4,5,1910.4,15.2,111.2,0.0,0.1,0.0,39.0,84.25,2583.0,base21
148,488.4,5,1911.4,15.4,111.2,0.0,0.1,0.0,39.0,84.29,2539.0,base21
149,489.4,5,1969.3,15.4,111.3,0.0,0.1,0.0,39.0,84.33,2535.0,base21
150,490.4,5,1968.7,15.4,111.3,0.0,0.1,0.0,39.0,84.37,2530.0,base21
151,491.4,5,1954.8,15.4,111.3,0.0,0.1,0.0,39.0,84.41,2527.0,base21
152,492.4,5,1962.4,15.4,111.3,0.0,0.1,0.0,39.0,84.45,2525.0,base21
153,493.4,5,1989.6,15.4,111.3,0.0,0.1,0.0,39.0,84.49,2522.0,base21
154,494.4,5,1991.9,15.4,111.3,0.0,0.1,0.0,39.0,84.53,2520.0,base21
155,495.4,5,1988.9,15.5,111.4,0.0,0.1,0.0,39.0,84.57,2517.0,base21
156,496.4,5,1987.0,15.5,111.4,0.0,0.1,0.0,39.0,84.6,2515.0,base21
157,497.9,5,1985.9,15.5,111.4,0.0,0.1,0.0,39.0,84.66,2512.0,base21
158,500.2,5,1984.8,15.5,111.4,0.0,0.1,0.0,39.0,84.75,2509.0,base21
159,503.5,5,1982.7,15.5,111.5,0.0,0.1,0.0,39.0,84.88,2503.0,base21
160,504.5,5,1981.4,15.6,111.5,0.0,0.1,0.0,39.0,84.92,2498.0,base21
161,505.5,5,1979.6,15.7,111.5,0.0,0.1,0.0,39.0,84.96,2476.0,base21
162,507.0,5,1976.5,15.7,111.5,0.0,0.1,0.0,39.0,85.02,2474.0,base21
163,508.0,5,1974.7,15.8,111.6,0.0,0.1,0.0,39.0,85.06,2474.0,base21
164,509.0,5,1978.6,15.8,111.6,0.0,0.1,0.0,39.0,85.1,2464.0,base21
165,510.0,5,1982.3,15.9,111.6,0.0,0.1,0.0,39.0,85.13,2462.0,base21
166,511.0,5,1982.9,15.9,111.6,0.0,0.1,0.0,39.0,85.17,2460.0,base21
167,512.5,5,1981.3,15.9,111.6,0.0,0.1,0.0,39.0,85.23,2458.0,base21
168,513.5,5,1981.2,15.9,111.6,0.0,0.1,0.0,39.0,85.27,2458.0,base21
169,514.5,5,1983.9,16.0,111.7,0.0,0.1,0.0,39.0,85.31,2448.0,base21
170,515.5,5,1984.7,16.0,111.7,0.0,0.1,0.0,39.0,85.35,2446.0,base21
171,516.5,5,1987.9,16.0,111.7,0.0,0.1,0.0,39.0,85.39,2445.0,base21
172,517.5,5,1993.0,16.1,111.7,0.0,0.1,0.0,39.0,85.43,2440.0,base21
173,518.5,5,1995.7,16.1,111.7,0.0,0.1,0.0,39.0,85.47,2438.0,base21
174,519.5,5,1995.2,16.1,111.7,0.0,0.1,0.0,39.0,85.51,2436.0,base21
